id,title,address,city,province,postal_code,earliest_date,has_vacancies,vacancy_message,availability,rent,bedroom,utilities_message,building_type_name,url,included_in_rent_ids,water,heat,Laundry,Storage,Parking(60),Electricity
9334,76 Place Apartments,76 Armenia Drive,Bedford,NS,B4A 0J9,20240501,True,"Availability Starting May 1, 2024","Available May 1, 2024","$2,525",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/bedford-ns/76-place-apartments/,"34, 43, 33",1,1,0,1,0,0
9393,19 Twenty Apartments,1920 Brunswick Street,Halifax,NS,B3J 0C5,20240401,True,Immediate Availability,Available Immediately,"$2,030",Bachelor,False,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/19-twenty-apartments/,,0,0,0,0,0,0
9393,19 Twenty Apartments,1920 Brunswick Street,Halifax,NS,B3J 0C5,20240401,True,Immediate Availability,"Available May 1, 2024","$2,195 - $2,235",1 Bedroom,False,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/19-twenty-apartments/,,0,0,0,0,0,0
9393,19 Twenty Apartments,1920 Brunswick Street,Halifax,NS,B3J 0C5,20240401,True,Immediate Availability,"Available July 1, 2024","$2,725",2 Bedroom,False,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/19-twenty-apartments/,,0,0,0,0,0,0
9414,Cunard Apartments,2065 Brunswick Street,Halifax,NS,B3K 5T8,20240101,True,Immediate Availability,Available Immediately,"$1,940 - $1,985",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/cunard-apartments/,"39, 43, 33",1,0,1,1,0,0
9433,Cunard Court &#8211; Lowrise,2073-2077 Brunswick Street,Halifax,NS,B3K 5T8,20240201,True,Immediate Availability,Available Immediately,"$1,995 - $2,060",1 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/cunard-apartments-lowrise/,"39, 33",1,0,1,0,0,0
9450,Halifax Apartments &#8211; MacKeen Towers,2001 Brunswick Street,Halifax,NS,B3J 3L8,20240801,True,"Availability Starting August 1, 2024","Available August 1, 2024","$2,065",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/halifax-apartments-mackeen-towers/,33,1,0,0,0,0,0
9471,Halifax Apartments &#8211; Scotia Tower,1991 Brunswick Street,Halifax,NS,B3J 3L8,20240101,True,Immediate Availability,Available Immediately,"$1,895",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/halifax-apartments-scotia-tower/,33,1,0,0,0,0,0
9471,Halifax Apartments &#8211; Scotia Tower,1991 Brunswick Street,Halifax,NS,B3J 3L8,20240101,True,Immediate Availability,"Available May 1, 2024","$2,490",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/halifax-apartments-scotia-tower/,33,1,0,0,0,0,0
9513,Harbour View Apartments,"2334 Longard Plaza, 2309, 2319, 2327, 2334 Brunswick St., 5214 Gerrish St.",Halifax,NS,B3K 5K6,20240201,True,Immediate Availability,Available Immediately,"$1,995 - $2,035",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/harbour-view-apartments/,"34, 33",1,1,0,0,0,0
9513,Harbour View Apartments,"2334 Longard Plaza, 2309, 2319, 2327, 2334 Brunswick St., 5214 Gerrish St.",Halifax,NS,B3K 5K6,20240201,True,Immediate Availability,"Available July 1, 2024","$2,565",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/harbour-view-apartments/,"34, 33",1,1,0,0,0,0
9513,Harbour View Apartments,"2334 Longard Plaza, 2309, 2319, 2327, 2334 Brunswick St., 5214 Gerrish St.",Halifax,NS,B3K 5K6,20240201,True,Immediate Availability,"Available July 1, 2024","$3,100",3 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/harbour-view-apartments/,"34, 33",1,1,0,0,0,0
9534,Ocean Brook Apartments,40 Charlotte Lane,Halifax,NS,B3M 4M2,20230901,True,Immediate Availability,Available Immediately,"$1,965 - $2,015",1 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/ocean-brook-park-apartments/,"34, 33",1,1,0,0,0,0
9534,Ocean Brook Apartments,40 Charlotte Lane,Halifax,NS,B3M 4M2,20230901,True,Immediate Availability,Available Immediately,"$2,380 - $2,495",2 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/ocean-brook-park-apartments/,"34, 33",1,1,0,0,0,0
9555,Park Victoria Apartments,1333 South Park Street,Halifax,NS,B3J 2K9,20240301,True,Immediate Availability,Available Immediately,"$2,110 - $2,160",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,33,1,0,0,0,0,0
9555,Park Victoria Apartments,1333 South Park Street,Halifax,NS,B3J 2K9,20240301,True,Immediate Availability,"Available July 1, 2024","$2,320",1 Bedroom + Den,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,33,1,0,0,0,0,0
9555,Park Victoria Apartments,1333 South Park Street,Halifax,NS,B3J 2K9,20240301,True,Immediate Availability,Available Immediately,"$2,640 - $2,695",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/park-victoria-apartments/,33,1,0,0,0,0,0
9576,Somerset Place Apartments,1030 South Park Street,Halifax,NS,B3J 2K9,20240201,True,Immediate Availability,"Available May 1, 2024","$1,780",Bachelor,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,33,1,0,0,0,0,0
9576,Somerset Place Apartments,1030 South Park Street,Halifax,NS,B3J 2K9,20240201,True,Immediate Availability,Available Immediately,"$1,970 - $2,095",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,33,1,0,0,0,0,0
9576,Somerset Place Apartments,1030 South Park Street,Halifax,NS,B3J 2K9,20240201,True,Immediate Availability,Available Immediately,"$2,735",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/somerset-place-apartments/,33,1,0,0,0,0,0
9597,Spring Garden,5770 Spring Garden Road,Halifax,NS,B3H 4J8,20240401,True,Immediate Availability,"Available May 1, 2024","$1,860",Bachelor,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/spring-garden/,33,1,0,0,0,0,0
9597,Spring Garden,5770 Spring Garden Road,Halifax,NS,B3H 4J8,20240401,True,Immediate Availability,Available Immediately,"$2,130 - $2,145",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/spring-garden/,33,1,0,0,0,0,0
9597,Spring Garden,5770 Spring Garden Road,Halifax,NS,B3H 4J8,20240401,True,Immediate Availability,Available Immediately,"$2,695",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/spring-garden/,33,1,0,0,0,0,0
9616,Stonecrest Village,"79,81 Radcliffe Drive & 80,85,90, 95 Chipstone Close",Halifax,NS,B3M 4L4,20231001,True,Immediate Availability,Available Immediately,"$1,855 - $1,960",1 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/stonecrest-village/,"34, 33",1,1,0,0,0,0
9616,Stonecrest Village,"79,81 Radcliffe Drive & 80,85,90, 95 Chipstone Close",Halifax,NS,B3M 4L4,20231001,True,Immediate Availability,Available Immediately,"$2,290 - $2,370",2 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/stonecrest-village/,"34, 33",1,1,0,0,0,0
9637,The Macdonald,5885 Cunard Street,Halifax,NS,B3K 1E3,20231201,True,Immediate Availability,"Available May 1, 2024","$1,745",Bachelor,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/the-macdonald/,"34, 33",1,1,0,0,0,0
9637,The Macdonald,5885 Cunard Street,Halifax,NS,B3K 1E3,20231201,True,Immediate Availability,Available Immediately,"$2,050 - $2,125",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/the-macdonald/,"34, 33",1,1,0,0,0,0
9637,The Macdonald,5885 Cunard Street,Halifax,NS,B3K 1E3,20231201,True,Immediate Availability,"Available May 1, 2024","$2,555",2 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/the-macdonald/,"34, 33",1,1,0,0,0,0
9658,The Welsford Apartments,2074 Robie Street,Halifax,NS,B3K 5L3,20231101,True,Immediate Availability,Available Immediately,"$1,750 - $1,785",Bachelor,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/the-welsford-apartments/,33,1,0,0,0,0,0
9658,The Welsford Apartments,2074 Robie Street,Halifax,NS,B3K 5L3,20231101,True,Immediate Availability,Available Immediately,"$1,985 - $2,080",1 Bedroom,Some utilities included,High-rise,https://www.capreit.ca/apartments-for-rent/halifax-ns/the-welsford-apartments/,33,1,0,0,0,0,0
56627,Lotus Point,101 Ochterloney St  ,Dartmouth,NS,B2Y 1C6 ,20240601,True,"Availability Starting June 1, 2024","Available June 1, 2024","$2,170",1 Bedroom,Some utilities included,Low-rise,https://www.capreit.ca/apartments-for-rent/dartmouth-ns/lotus-point/,"34, 39, 33",1,1,1,0,0,0
