listing_id,st address,lat,long,bedroom,rent,Building type,parking,pets allowed,balcony,smoking,laundry,heat,water,electricity
492669,6531 Chebucto Rd,44.6478628,-63.6059291,3,550.00,house,1,1,,,0,1,1,1
565983,6243 Watt St,44.6398285,-63.5948432,4,570.00,house,1,,,,2,1,1,1
837961,1778 Oxford St,44.6424223,-63.5992279,1,950.00,house,1,1,1,0,1,1,1,
837962,1778 Oxford St,44.6424223,-63.5992279,1,950.00,house,1,1,1,0,1,1,1,
381266,1300 Queen St,44.6409117,-63.5747701,2,1200.00,house,1,,,0,2,,1,
860960,5599 Fenwick St,44.6376478,-63.5750145,2,1425.00,house,2,,,,2,,,
836265,5835 Kaye St,44.6605991,-63.6024980,2,1450.00,house,1,,,0,2,,,
861303,2743 Swaine St,44.6487768,-63.6083222,3,1925.00,house,1,1,,0,2,,,
860959,5599 Fenwick St,44.6376478,-63.5750145,2,2015.00,house,2,,,,2,,,
861304,1901 Gottingen St,44.6495839,-63.5796801,2,2850.00,house,2,,1,0,,1,1,
