address,bedrooms,bathrooms,parking_spaces,air_conditioning,rent,availability,feature,description,extraction_date
"303/33 McFatridge Road,, Halifax, Nova Scotia, B3N 2R2",1,1,None,No,"$1,600","Available from Monday, 01st April","House, 1 bed, 1 bath, Pet Friendly, Open Parking Spaces, Balcony, 1 Parking Space, Balcony, Coin Operated Laundry, Fridge & stove, Laminate Flooring, Quiet Building"," ~ cozy 1 Bedroom, 1 Bath Apartment in Halifax with a view of the Bedford Basin! Galley Kitchen with Fridge & Stove, laminate flooring throughout Living Room leads to your patio doors and balcony. Spacious Bedroom with good size closet.,This unit is in a small, quiet building with on site Superintendent. Coin operated laundry  and 1 parking space available. Walking distance to amenities and metro transit., includes water, tenant pays Heat / HW / Lights with NSP",2024-03-15
"2303 Princess Place,, Halifax, Nova Scotia, B3K 4K5",3,3,None,No,"$3,700","Available from Wednesday, 01st May","Townhouse, 3 bed, 3 bath, Ensuite, Pet Friendly, Remote Garage, Secure Parking, Dishwasher, Gym, Balcony, Outdoor Entertaining, 2 Parking Spaces, 3 Levels, Den, Ensuite, Hardwood floors, High Ceilings, Rec Room, Soaker Tub, Stainless Steel Appliances, Storage Unit, Walk in closet, Washer/ Dryer","This 3+ Bedroom Townhouse Condo has been uniquely designed with 3 finished levels.  Located on a quiet street, this executive townhouse offers the simplicity of condo living as well as the benefits of a single family home.,This home sits nicely on the corner of Cunard & Princess with a street level entrance that welcomes you into the inviting main level, featuring gleaming hardwood floors, high ceilings, lots of natural lighting, and more! The beautifully finished gourmet kitchen with stainless steel appliances overlooks the combined dining and living room areas that flow nicely into the family room/den.,The second level offers , including the master suite with large walk in closet that flows into the spa like ensuite with his and her vanities. Completing this level is a beautiful 3pc bathroom with large soaker tub. The top floor offers access to the roof top patio – which is the perfect spot to relax and soak up that summer sun and watch community events & fireworks from the Commons!,The lower level features a spacious rec room or 4th bedroom, as well as laundry, and access to storage unit and 2 underground parking spaces!,Freshly painted throughout and move-in ready, this beautiful Heritage property is perfect for a young professional couple or a growing family. Across the street from the commons, and just minutes to downtown, the waterfront, trendy shopping and dining on Agricola Street, Hospitals, Schools all while enjoying the panoramic views of the cities largest playground – The Halifax Commons – from your private roof top patio!",2024-03-15
"Lower/77 Executive Drive,, Sackville, Nova Scotia, B4E 3A7",1,1,1,Yes,"$1,800","Available from Monday, 01st April","Unit, 1 bed, 1 bath, Built 2020, 1 Parking Spaces, Air Conditioning, New Construction, Ensuite, Garage, Open Parking Spaces, Deck, Cove Mouldings, Deck, Egger Cabinets, Engineered Hardwood, Fridge & stove, Laundry, Parking, Storage",,2024-03-15
"222 Victoria Road,, Dartmouth, Nova Scotia, B3A 1W5",2,1,None,No,Some Utilities Included,"Available from Monday, 01st April","Unit, 2 bed, 1 bath, Pet Friendly, Fridge & stove, Great Location, Parking, Renovated, Shared Laundry, Storage, Upper Level",,2024-03-15
"102 Connolly Road,, Middle Sackville, Nova Scotia, B4E 1S7",3,1.5,None,No,"$2,300",Available from now,"House, 3 bed, 1.5 bath, Pet Friendly, 2 Open Parking Spaces, Dishwasher, Deck, Outdoor Entertaining, Dishwasher, Fresh Paint, Fridge & stove, Great Location, Lovely Backyard, New Flooring, Oak Cabinets, Open Concept Layout, Parking, Washer/ Dryer",,2024-03-15
"1/108 Albro Lake Road,, Dartmouth, Nova Scotia, B3A 3Y9",1,1,None,No,"$1,500",Available from now,"Unit, 1 bed, 1 bath, Open Parking Spaces, Courtyard, Freshly Painted, Fridge & stove, On Bus Route, Parking, Shared Backyard, Super on Site, White Cabinets"," ~ Lovely , Apartment in a very well kept building in Dartmouth! White cabinets in kitchen along with fridge and stove (no dishwasher). There is one parking space and a shared backyard for all tenants to enjoy! On site superintendent keeps everything well maintained. Sorry no laundry here.,Albro Lake is on a direct bus route, short drive to Mic Mac Mall and downtown Dartmouth amenities.,*Photos may not be exactly as shown., (water included)",2024-03-15
"313/25 Alderney Drive,, Dartmouth, Nova Scotia, B2Y 2N4",1,1,1,Yes,"$2,800",Available from now,"Unit, 1 bed, 1 bath, 1 Parking Spaces, Air Conditioning, Alarm System, Garage, Common Room, Dishwasher, Excellent Location, Fridge & stove, Gym with Sauna, Modern Finishes, Newer Construction, Open Concept, Rooftop Patio, Storage Unit, Underground parking, Washer/ Dryer"," ~ one of Dartmouth’s newer Condo Buildings in the heart of downtown Dartmouth! Unit 313 is a 1 Bedroom (with unique layout), 1 Bathroom Condo overlooking Alderney Drive with views of our spectacular waterfront!,With an open concept layout, you will find beautiful flooring throughout, large windows that pour in natural light and modern finishes that make this a stunning place to call home! A well appointed kitchen with lots of cabinets and high end appliances. The one bedroom is contained by sliding doors that you can open up to the main living space, a gorgeous 4pc Bathroom, a convenient laundry closet and living room with Electric Fireplace and huge front windows where you can soak in a stunning view!,The building offers it’s tenants a wonderful Rooftop Patio with BBQ and patio furniture, a gym with a lovely sauna, 1 underground Parking Space with a Storage Locker, a Common Room and a beautiful courtyard for the warmer months!,Live here and love the location! Steps away from Alderney Landing, the ferry to downtown Halifax and a stroll along the waterfront!  These condos are great for working professionals of downtown Halifax or Dartmouth, as the ferry to  is just a short walk away. Nearby you will find delightful park, a public library, cafes & restuarants, boutiques, bars and so much more!,Heat / AC / hot water and water are included ~ Tenant pays for power only",2024-03-15
"35 Rodney Road,, Dartmouth, Nova Scotia, B2Y 3V7",5,2,None,No,"$2,995",Available from now,"House, 5 bed, 2 bath, 2 Open Parking Spaces, Fully Fenced, 2 Car Driveway, Deck, Dishwasher, Fenced Bakyard, Flexspaces, Fresh Paint, Fridge & stove, Laminate Flooring, Loft, Modern Bathrooms, Rec Room, Storage, Washer/ Dryer",,2024-03-15
"106 Dalkeith Drive,, Dartmouth, Nova Scotia, B2W 4E8",4,2,None,No,"$2,600",Available from now,"House, 4 bed, 2 bath, Pet Friendly, 2 Open Parking Spaces, 2 Electric Fireplaces, Backyard, Dishwasher, Large Deck, Open Concept Main, Parking, Rec Room, Refrigerator & Stove, Storage, Tank for Gas Stove, Washer/ Dryer","
,
,
,On the lower level a very  large Rec Room with electric fireplace! The fourth Bedroom also with an Ikea wardrobe system, Bathroom with walk in shower, a Laundry Room with storage space and walk out to backyard. This home is immaculate and freshly painted throughout for the new tenants. You’ll love the expansive deck for entertaining and the backyard spacious back yard with shed.,Located in Forrest Hills, you are minutes away from Cole Harbour Place, Sports Fields, Schools and endless amenities!,
,
,
",2024-03-15
"2/14 Eastbrook Avenue,, Dartmouth, Nova Scotia, B3A 1R7",1,1,None,No,,,"Flat, 1 bed, 1 bath, Outdoor Entertaining, Cat Friendly, Fridge and stove, Hardwood, Natural Light, Near Amenities, New Kitchen, Parking"," ~ Sweet 1 bedroom, 1 Bath Main Floor Flat in a small four unit building, nestled on a quiet residential street near downtown Dartmouth! Large windows make this unit very bright with hardwood floors in the living room. Current upgrades include a beautiful new kitchen, painted throughout and updated bathroom.,Includes fridge & stove. Nice shared backyard space and parking available. 14 Eastbrook is just off Victoria Road, walking distance to numerous amenities, near Metro Transit bus route and very close to the downtown core. Please note, there’s only street parking, but possible to keep vehicle in driveway during a winter ban,.",2024-03-15
