address,city,lat,lng,pets,agent_name,brokerage_name,state,building_name,city_state,amenity_tags,building_amenity_tags,date_available,max_price,min_price,max_bedrooms,min_bedrooms,max_bathrooms,min_bathrooms,floorplan_count,min_lease_days,max_lease_days,min_square_feet,max_square_feet,zipcode,max_all_bathrooms,min_all_bathrooms
671 Larry Uteck Blvd,Halifax,44.7008971973701,-63.684408880710805,"[1, 2, 3]",Royal Gardens,GWL Realty Advisors Residential,NS,Royal Gardens,halifax-ns,"['Air Conditioning', 'Onsite Laundry', 'Balcony', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Air Conditioning', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'Fitness Center', 'Residents Lounge', 'Garage Parking', 'Storage', 'Elevator', 'Microwave', 'Stove', 'Alarm System', 'Washer In-Suite', 'Fridge', 'Dishwasher Available']",,2800,2800,2,2,2,2,1,365.0,365.0,9223372036854775807,-1,B3M 0J6,"[2, 0]","[2, 0]"
40 Bedros Lane,Halifax,44.69945533478897,-63.665538915799054,[],Bedford Heights Apartments 2,MetCap Living Management Inc.,NS,40 Bedros Lane,halifax-ns,"['Hardwood Floor', 'Onsite Laundry', 'Balcony', 'Assigned Parking', 'Oven', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'Deck', 'Hardwood Floor', 'On-Site Management', 'Fitness Center', 'Garage Parking', 'Elevator', 'Patio', 'Stainless Steel Appliances', 'Refrigerator', 'Full Kitchen', 'Close to Major Highways', 'Den', 'Shopping Nearby', 'Close to Schools', 'Laminate Floors', 'Close to Parks', 'Fitness Facilities', 'Freshly Painted', 'Stove/Oven', 'Security Card Access', 'Fantastic Views', 'Microwave Oven', 'Close to Restaurants', 'Plenty Of Closet Space', 'Bright and Spacious Suites', 'Close To Grocery and Retail Shopping', 'On-Premise Security', 'Stone Countertop']",,2866,2238,2,1,2,1,2,365.0,365.0,650,1252,B3M 4X1,"[2, 0]","[1, 0]"
3075 Devonshire Ave,Halifax,44.664263996633615,-63.59465781602435,"[1, 2, 3]",The Junction,Hazelview Properties,NS,The Junction,halifax-ns,"['Air Conditioning', 'Onsite Laundry', 'Balcony', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Air Conditioning', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'On-Site Management', 'Garage Parking', 'Elevator', 'Microwave', 'Stove', 'View', 'Washer In-Suite', 'Public Transit', 'No Smoking Allowed', 'Fridge', 'Parks Nearby', 'Convenience Store', 'Security Cameras', 'One Parking Space is Available at a Cost', 'Outdoor Terrace - Coming Soon']",2024-04-01,3125,2475,2,1,2,2,2,365.0,365.0,880,880,B3K 0H5,"[2, 0]","[2, 0]"
222 Portland St,Halifax,44.66807681558861,-63.561130099961275,[1],"222 Portland Street, Dartmouth NS",Westbury Rental Residences,NS,"222 Portland Street, Dartmouth NS",halifax-ns,"['In-Unit Laundry', 'Dishwasher', 'Onsite Laundry']","['Onsite Laundry', 'Dishwasher', 'In-Unit Laundry', 'Fitness Center', 'Microwave', 'Stove', 'Internet Ready', 'Washer In-Suite', 'Fridge', 'Dishwasher Available', 'Building Washer and Dryer']",,1800,1800,1,1,1,1,1,365.0,365.0,9223372036854775807,-1,B2Y 1J6,"[1, 0]","[1, 0]"
109 Greenpark Close,Halifax,44.65284622659057,-63.66815643592211,"[1, 2, 3]",Greenpark Suites,Hazelview Properties,NS,Greenpark Suites,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'On-Site Management', 'Garage Parking', 'Storage', 'Elevator', 'Nearby Shopping', 'Washer In-Suite', 'Dishwasher Available', 'Close to Schools', 'Close to Parks', 'Onsite Professional Management', 'Monitored Security Cameras', 'Close to Community Centre', 'Close to Restaurants Pubs and Entertainment', 'Located in One of The Citys Hottest Areas', 'Fridge, Stove and Dishwasher Included', 'One Parking Spot Included']",2024-05-01,2150,2150,1,1,1,1,1,365.0,365.0,9223372036854775807,-1,B3S 1R6,"[1, 0]","[1, 0]"
307 Prince Albert Rd,Halifax,44.67920046791117,-63.55075732634397,[],307 Prince Albert Rd,Blue Basin Group,NS,307 Prince Albert Rd,halifax-ns,"['Trash Included', 'Water', 'Utilities/Sewer']",,,2725,2175,2,2,2,1,2,365.0,365.0,1016,1270,B2Y 1N3,"[2, 0]","[1, 0]"
15 Bently Dr,Halifax,44.64917652845049,-63.65660256767133,"[1, 2, 3]",Bently,Hazelview Properties,NS,Bently,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Fireplace', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Fireplace', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'On-Site Management', 'Fitness Center', 'Garage Parking', 'Storage', 'Business Center', 'Elevator', 'Stove', 'Granite Countertops', 'Party Room', 'Open Concept', 'Gym', 'No Smoking Allowed', 'Fridge', 'Dishwasher Available', 'Close to Public Transit', 'Close to Parks', 'Onsite Professional Management', 'Controlled Access Lobby', 'High Rise', 'Abundance of Natural Light', 'Monitored Security Cameras', 'Close to Restaurants Pubs and Entertainment', 'Located In A Quiet Park Like Setting', 'Appliances Stainless Steel', 'Utilities/Heating & Hot Water', 'Close to Bayers Lake Business Park', 'Close to Mainland Common', 'Close to Canada Game Center']",2024-05-01,1995,1995,1,1,1,1,1,365.0,365.0,9223372036854775807,-1,B3S 0G2,"[1, 0]","[1, 0]"
1585 Oxford St,Halifax,44.63869717791457,-63.59709977040416,[1],The Kingsford,Templeton Properties,NS,The Kingsford,halifax-ns,"['Dishwasher', 'Heat', 'Central Heat', 'Onsite Laundry']","['Onsite Laundry', 'Dishwasher', 'On-Site Management', 'Storage', 'Elevator', 'Heating', 'Refrigerator', 'Microwave', 'Recycling', 'Stove and Oven', 'Mirrors']",2024-03-01,1850,1600,1,0,1,1,4,365.0,365.0,346,486,B3H 3Z3,"[1, 0]","[1, 0]"
2077 2073-2077 Brunswick Street,Halifax,44.652367382503535,-63.58065933310056,"[1, 2, 3]",Cunard Court – Lowrise,CAPREIT,NS,Cunard Court – Lowrise,halifax-ns,"['Onsite Laundry', 'Water', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'In-Unit Laundry', 'Garage Parking', 'Storage', 'Washer In-Suite', 'Public Transit', 'Shopping Nearby', 'Fridge', 'Dishwasher Available', 'Bicycle Room', 'Garage Bike Rack']",2024-02-01,2295,1995,2,1,1,1,2,365.0,365.0,620,850,B3K 2Y4,"[1, 0]","[1, 0]"
40 Charlotte Lane,Halifax,44.69600960725599,-63.6629485674071,"[1, 2, 3]",Ocean Brook Apartments,CAPREIT,NS,Ocean Brook Apartments,halifax-ns,"['Heat', 'Onsite Laundry', 'Balcony', 'Hot Water', 'Assigned Parking', 'In-Unit Laundry', 'Dishwasher']","['Onsite Laundry', 'Assigned Parking', 'Dishwasher', 'Balcony', 'In-Unit Laundry', 'Fitness Center', 'Outdoor Space', 'Elevator', 'Stove', 'Washer In-Suite', 'Public Transit', 'Schools Nearby', 'Fridge', 'Dishwasher Available', 'Exercise Room']",,2385,1985,2,1,1,1,2,365.0,365.0,900,1470,B3M 4N4,"[1, 0]","[1, 0]"
