Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude
"BACHELOR/ STUDIO  UNIT AVAIL. NOW or April 01, 2024",1475,"Halifax, NS B3H 4K2",2024-03-13T00:45:34.000Z,14 minutes ago,Apartment,Bachelor/Studio,1,"Hydro,Heat,Water",Not Included,0,1 Year,No,400,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Yard,Yes,"Bicycle Parking,Storage Space,Elevator in Building",Professional,www.arcmanagement.ca,"SOUTH END HALIFAX, Tobin Street, which crosses Barrington and Queen. This unfurnished BACHELOR unit is located on the 1st floor with patio to lawn that rents for $1475 that includes heat, hot water and electricity. Unit has laminate wood flooring and ceramic tiles throughout. It comes with a fridge, stove ,dishwasher. The building, Skyline Towers, is very close to amenities with a large grocery stores, Tim Hortons, bus route and other shops within a very short walking distance. Dalhousie University (DAL), Saint Mary's University (SMU), DAL Tech and NSCAD, Public Gardens, Point Pleasant Park, Farmer's Market, are all very close by, shopping on spring garden and easy walking to the many Halifax restaurants.
Laundry facilities are in the building, and underground parking has a monthly fee. No pets are allowed.
If you are interested in renting this apartment please respond to this ad or call Kirk at 902 422 3836 or 902 423 4509.",44.63884,-63.57167
Beautiful 1 bedroom unit in Central Fairview! $1795.00,1795,"2 SYBYL COURT, HALIFAX, NS, B3M 1G8",2024-03-12T16:00:00.000Z,about 9 hours ago,Apartment,1,1,"Heat,Water",Not Included,1,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,,No,,Professional,,"Ground Floor accessible unit,To view this unit please contact Mike at 902 443-9529. To apply please visit our site's homepage: WWW.OLYMPUSPROPERTIES.CA,Spacious 1-bedroom apartment at 2 Sybyl Court in Clayton Park. Located in a very clean, quiet, and secure 22-unit building. This is a large unit with a storage room in the unit and has been recently renovated: The rent includes heat, hot and cold water, a fridge, A dishwasher, as well as a microwave, parking for one, and coin laundry. Close to Clayton Park Shopping Center where you will find groceries, banks, restaurants, Tims, pharmacies, post office, and much more. The Lacewood Terminal is close by and there is an express bus stop outside the door.,. ",44.65526,-63.64738
"New & Spacious 3 Bedroom Unit in Halifax, 6 Appliances",3150,"13 Edgehill Road, Halifax, NS, B3N 1G5",2024-03-12T16:00:01.000Z,about 9 hours ago,Apartment,3,1,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,"Yard,Balcony",No,,Professional,,,44.63557,-63.6282
non smoking one bedroom apt,1275,"1 Richmond Street, Dartmouth, NS",2024-03-12T16:08:40.000Z,about 9 hours ago,Apartment,1,1,Water,Not Included,0,1 Year,No,1,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,No,,Owner,,"Very quiet street in Dartmouth. Close to to Bridges Burnside & Dartmouth Crossing,Available April 1st,$1275 Plus Utilities
Very bright, clean suite,Video security system
Ball field and tennis courts across street
Smart card laundry facilities
secure entry,No smoking
No pets
Insurance required,Viewings are by appointment only.",44.67565,-63.58374
One bedroom lease take over,1860,"5651 Ogilvie Street, Halifax, NS",2024-03-12T16:23:18.000Z,about 9 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Yes,500,No,Laundry (In Building),No,,Outdoors only,Elevator in Building,Owner,,"Available from April 1st
One-bedroom apartment for singles or couples
Starting in April,
You will need sign a new lease with landlord, the price will be around $1860,One year lease,Outdoor ground parking space $75/Month
Indoor underground parking $150/Month
Water & heat included
Power approximately $40-50 per month,Close to Point Pleasant Park.
Five minutes walk to Route 29 bus stop.
10 minutes walk to SMU
7 minutes drive to Dal
Shared washer and dryer on each floor,Pet friendly ( depending on breed and number),Please message 902-403-3421 or email to Rica.WLC@gmail.com if you are interested
^_^",44.629,-63.57132
3 Bedroom Apartment (Banook Lake Area) Heat & Hot Water Inc.,1495,"15 Lakeview Point Road, Dartmouth, NS",2024-03-12T16:27:06.000Z,about 9 hours ago,Apartment,3,1,"Heat,Water",Not Included,1,1 Year,Limited,850,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,Storage Space,Owner,,"3 Bedroom Apartment (Banook Lake Area),Heat & Hot Water Included,Walk to Beach, Parks, Trails and Superstore,Storage Locker Included,Laundry In Building,Quiet Building",44.68061,-63.55209
2 BR -  Condo Style - Dog Friendly!,2210,"16 Bently Drive, Halifax, NS, B3S 0G9",2024-03-12T17:12:43.000Z,about 8 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,"1,179",No,Laundry (In Unit),No,Balcony,No,"Gym,Storage Space",Professional,www.hazelviewproperties.com,"Welcome to Azure, a rental community situated in a quiet, park-like setting in lively Clayton Park West. Are you looking for a well-rounded life without compromise? You've found your spot. It's conveniently located just a few minutes away from schools and the retail and recreation hub of Bayer's Lake Business Park where you'll find Costco, Canadian Tire, Staples, Walmart, Atlantic Superstore and much more. Stocking up on everyday essentials couldn't be easier. You'll love being close to Scotiabank Theatres, Chapters and a mini-golf course. A go-kart track is located nearby as well. If full-size golf is more your speed, Fairview Hills Golf Centre is just across the street from the Bently. You can walk to the woodland hiking trails and off-leash dog park at Halifax Mainland Common, with more nature trails at Greenpark Close. All this is at your doorstep with downtown Halifax less than 15 minutes away.,You and your family will love the spacious, open-concept living and premium amenities of Azure. Your luxury rental apartment features in-suite laundry and a designer kitchen with granite counters and stainless steel appliances. Keep fit in the gym and entertain in the party room. This pet-friendly home features on-site professional management for worry-free living.,You deserve to have it all. It's all waiting for you at Azure (16 Bently Drive).",44.64771,-63.65449
South End Bachelor apartment,1350,"5681 Rhuland St, Halifax, NS B3H 4J6",2024-03-12T18:31:33.000Z,about 7 hours ago,Apartment,Bachelor/Studio,1,Water,Not Included,0,1 Year,No,420,No,"Laundry (In Building),Fridge / Freezer",No,,No,"24 Hour Security,Bicycle Parking,Elevator in Building",Owner,,"Ideally located in Halifax’s south, end our building offers a convenient and secure place to live. Ideal for single person occupancy, our bachelors are a cozy and comfortable place that you can call home.
Within walking distance of universities, hospitals, grocery stores, many major, bus routes, and much much more.
Amenities include:
- 24 hour staff on site
-Card operated laundry on every floor
-security building
-bicycle parking
- Underground parking available at additional cost
**sorry we do not allow pets**",44.63561,-63.57567
Halifax 3 Bedroom Flat (furnished),2400,"11 Quarry Rd, Halifax, NS B3N 1X1",2024-03-12T18:45:29.000Z,about 6 hours ago,Apartment,3,1,"Hydro,Heat,Water",Not Included,2,1 Year,Limited,"1,250",Yes,"Laundry (In Unit),Fridge / Freezer",Yes,,Outdoors only,,Owner,,"This stylish and large 3 bedroom flat is located in a great Halifax neighbourhood near all amenities including downtown, schools, hospitals, Bayers Lake, bridges and highways. There is a heat pump which provides air conditioning. The unit comes furnished including three beds with Endy mattresses (so comfortable). Heat, water, hot water, electricity, air conditioning, laundry and parking included. $2400 per month. ",44.63518,-63.6316
Fall River 1 Bdrm Apt,1200,"Fall River, NS B2T 1J1",2024-03-12T18:56:53.000Z,about 6 hours ago,Apartment,1,1,Water,Not Included,1,Month-to-month,Yes,375,No,"Laundry (In Building),Fridge / Freezer",Yes,Balcony,Outdoors only,,Owner,,"1 Bedroom Apartment
Located on a private waterside lot in Fall River short walking distance to all amenities. Beautiful finishes in this spacious 1 bedroom 1 bath unit. Complete with wood & porcelain floors, water views from your patio. Respond to this email to arrange a viewing.
Rent $1,200 per month incl water.
Email to set up viewing",44.82389,-63.61726
