Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description,Latitude,Longitude,extraction_date
LOVELY - 2 BEDROOM ON SPRING GARDEN RD,,"5670 Spring Garden Road, Halifax, NS, B3J 1H6",2024-03-19T23:56:00.000Z,19 minutes ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,"Gym,Bicycle Parking,Elevator in Building",Professional,muse.universalgroup.ca,"After years of commanding the corner as an iconic office tower, Universal Realty is pleased to present The Muse. Located at 5670 Spring Garden Road at the corner of Brenton Street, residents are mere moments from the Halifax Public Gardens, Dalhousie, Saint Mary's, hospitals, and an amazing selection of dowtown shopping and dining. Get ready to experience stylish interiors enhanced by with a light-filled, airy ambiance - it's the ultimate in urban living.",44.64237,-63.57878,2024-03-19
NEW BUILD - 2 Bedroom Lower Flat,2250,"29 McIntosh Street, Halifax, NS, B3R 1G9",2024-03-19T20:08:20.000Z,about 4 hours ago,Basement,2,1,,Not Included,1,Not Available,Yes,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Professional,homekeyrentals.rhenti.com,,44.60253,-63.60549,2024-03-19
Bright 1 Bedroom Near Dalhousie University,1850,"1545 Oxford Street, Halifax, NS, B3H 3Z3",2024-03-19T20:08:22.000Z,about 4 hours ago,Apartment,1,1,Water,Not Included,1,Not Available,Yes,475,No,Fridge / Freezer,No,,No,"Storage Space,Elevator in Building",Professional,templetonproperties.rhenti.com,"This beautifully designed 1-bedroom, 1-bathroom unit is perfect for students, couples, and young professionals looking for a comfortable and convenient home.,Step into this inviting apartment and immediately notice the abundance of natural light that floods the space, creating a warm and inviting atmosphere. The large windows not only brighten up the unit but also provide picturesque views of the surrounding neighborhood. You'll love the functionality of the fully equipped kitchen, complete with a fridge and stove, allowing you to effortlessly prepare delicious meals at your convenience.Laundry day will be a breeze as the building offers common laundry facilities, saving you time and hassle.,Speaking of convenience, this unit is perfectly situated close to Dalhousie University, making commuting a breeze for students. One of the best features of this apartment is that it is located in a quiet building, ensuring peace and tranquility in your everyday life. You'll find solace in returning to this peaceful retreat after a long day of classes or work.,Don't miss out on the opportunity to experience the perfect blend of comfort, convenience, and peaceful living. Book a tour today and discover why this unit is the ideal place to call home!,Welcome to Oxford House, a mid-rise apartment community nestled in a quiet and safe neighborhood in Halifax, Nova Scotia. With its prime location on Oxford Street, this property offers a fantastic living experience for students, couples, and young professionals alike.,For students, Oxford House is an ideal choice as it is within walking distance to Dalhousie University. Imagine the convenience of rolling out of bed and strolling to class, saving precious time and eliminating the hassle of commuting. Our proximity to the university ensures that you can fully immerse yourself in the academic atmosphere while enjoying the comforts of a peaceful and quiet neighborhood.,With amenities like outdoor parking, elevators, on-site staff, and laundry facilities, your daily routine becomes effortless. Whether you are commuting to work or exploring the vibrant city of Halifax, you can count on Oxford House to provide a welcoming and well-maintained home to return to at the end of the day. Don't miss the opportunity to call Oxford House your new home.,Welcome to Oxford House, a mid-rise apartment community nestled in a quiet and safe neighborhood in Halifax, Nova Scotia. With its prime location on Oxford Street, this property offers a fantastic living experience for students, couples, and young professionals alike.,For students, Oxford House is an ideal choice as it is within walking distance to Dalhousie University. Imagine the convenience of rolling out of bed and strolling to class, saving precious time and eliminating the hassle of commuting. Our proximity to the university ensures that you can fully immerse yourself in the academic atmosphere while enjoying the comforts of a peaceful and quiet neighborhood.,With amenities like outdoor parking, elevators, on-site staff, and laundry facilities, your daily routine becomes effortless. Whether you are commuting to work or exploring the vibrant city of Halifax, you can count on Oxford House to provide a welcoming and well-maintained home to return to at the end of the day. Don't miss the opportunity to call Oxford House your new home.",44.6384,-63.59656,2024-03-19
FULLY FURNISHED 2 Bedroom - Short Term Rental Apartment,3000,"1000 Larry Uteck Boulevard, Bedford, NS, B4B 1H6",2024-03-19T20:08:22.000Z,about 4 hours ago,Apartment,2,2,"Hydro,Water",Not Included,1,Not Available,No,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,,No,,Professional,homekeyrentals.rhenti.com,"HomeKey Rentals & Property Management welcomes you to:,1000 Larry Uteck Blvd, Unit 202, Bedford, NS B4B 1H6,Available for 4 Months Only: June 1st to Sept 30th ,$3000 ALL utilities included, even bi-weekly cleaning service, internet & cable,Enjoy luxury living in the Luxor Blu, a stylish modern building overlooking Kearney Lake with amenities ,including a large fitness center, putting green with lovely lakeview, community room with large kitchen, ,underground parking, car wash area, and an on site Superintendent. Easy access to the bicentennial ,highway, shopping & restaurants. ,This beautifully furnished 2 bedroom 2 bath suite is available for 4- months (June 1 to Sept 30) and ,includes not only all utilities (heat, lights, water, internet, cable), 1 underground parking spot but also ,bi-weekly cleaning services. ,Features include:,- Bright and sunny living room with ample seating and a large screen tv ,- Fully equipped kitchen featuring a large island with waterfall countertop and stools for casual ,dining,- Dining area with seating for six,- Large primary bedroom with queen sized bed, a large walk-through closet to ensuite for your ,own private retreat,- 2,nd bedroom has a double bed and small desk and walk in closet,- Large storage / laundry room with in-suite washer & dryer,- Propane BBQ and outdoor furniture, great for entertaining or relaxing with a good book ,- Sorry no pets permitted,To view, please contact our Leasing Manager, Zoe – 902-809-6966 or info@homekeyrentals.com",44.69907,-63.6975,2024-03-19
Bright 1 Bedroom on Oxford Street Near Dalhousie University,1995,"1585 Oxford Street, Halifax, NS, B3H 3Z3",2024-03-19T20:08:22.000Z,about 4 hours ago,Apartment,1,1,Water,Not Included,1,Not Available,Yes,583,No,"Dishwasher,Fridge / Freezer",No,,No,"Storage Space,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to Kingsford, a vibrant mid-rise apartment community located in the heart of Halifax, Nova Scotia. Situated just minutes away from Dalhousie University and downtown, our property offers a convenient and desirable location for students and couples alike. ,At Kingsford, we understand the importance of natural light in creating a warm and inviting atmosphere. Our bright units are flooded with an abundance of natural light, creating a serene and comfortable living space. Imagine waking up to the sun streaming through your windows, filling your home with a sense of positivity and energy.,For students, Kingsford is an ideal choice. You'll love the short walking distance to Dalhousie University, allowing you to easily commute to classes and immerse yourself in campus life. When you return home from a long day of studying, our on-site staff will be there to greet you and ensure your needs are met. Couples will also find Kingsford to be the perfect place to call home. With our spacious floor plans and thoughtful design, you'll have plenty of room to relax and unwind together.,As an added convenience, Kingsford offers outdoor parking and elevators, making your daily routines effortless and hassle-free. Whether you're a student seeking a convenient location or a couple searching for a comfortable and well-connected community, Kingsford has it all. Come experience the best of Halifax living at Kingsford - where bright units, natural light, and a short walking distance await you.",44.63874,-63.59693,2024-03-19
Beautiful 1 Bedroom Penthouse at The Vuze!,2450,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-19T20:08:26.000Z,about 4 hours ago,Apartment,1,1,Water,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,We would allow 1 cat per unit, or 1 small dog (under 30 Lbs, and subject to approval from the landlord) per unit. The pet must be up to date on vaccines, and spayed/neutered if over 7 months. We do not allow any other type of pets (ie. rodents, birds, amphibians, etc).,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!,Pets under 40lbs allowed upon approval",44.63813,-63.57591,2024-03-19
Beautiful Studio Apartment at The Vuze!,1995,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-19T20:08:26.000Z,about 4 hours ago,Apartment,Bachelor/Studio,1,Water,Not Included,1,Not Available,Yes,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!",44.63813,-63.57591,2024-03-19
EURO 2 BEDROOM 1 BATH,2600,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-19T20:08:26.000Z,about 4 hours ago,Apartment,2,1,Water,Not Included,1,Not Available,Yes,800,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,We would allow 1 cat per unit, or 1 small dog (under 30 Lbs, and subject to approval from the landlord) per unit. The pet must be up to date on vaccines, and spayed/neutered if over 7 months. We do not allow any other type of pets (ie. rodents, birds, amphibians, etc).,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!,Pets under 40lbs allowed upon approval",44.63813,-63.57591,2024-03-19
Beautiful 2 Bedroom at The Vuze!,2900,"5633 Fenwick Street, Halifax, NS, B3H 4M2",2024-03-19T20:08:26.000Z,about 4 hours ago,Apartment,2,2,Water,Not Included,1,Not Available,Yes,"1,050",No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,Elevator in Building",Professional,templetonproperties.rhenti.com,"Welcome to The Vüze, your gateway to the vibrant heartbeat of South End Halifax! Nestled in the heart of this dynamic neighborhood, The Vüze promises a lifestyle that's all about convenience, excitement, and modern living.,Situated strategically, our residence places you within arm's reach of renowned universities, ensuring your academic journey is just moments away. Hospitals, recreation centers, and bustling businesses are all part of your daily landscape, making every aspect of your life effortlessly accessible.,At The Vüze, it's not just about a home; it's about embracing a thriving community. Imagine strolling to nearby universities for classes, enjoying the latest in healthcare advancements, and finding your favorite spots for recreation and relaxation—all within reach.,Whether you're a student seeking a stress-free commute or a young professional looking for the perfect work-life balance, The Vüze is your ideal sanctuary. We've curated a space where the city's pulse meets the tranquility of your home.,We would allow 1 cat per unit, or 1 small dog (under 30 Lbs, and subject to approval from the landlord) per unit. The pet must be up to date on vaccines, and spayed/neutered if over 7 months. We do not allow any other type of pets (ie. rodents, birds, amphibians, etc).,Join us at The Vüze, where living in the heart of South End Halifax is not just a choice; it's a lifestyle. Contact us today to embark on a journey where every convenience is at your doorstep, and every day is filled with the excitement of urban living!,Pets under 40lbs allowed upon approval",44.63813,-63.57591,2024-03-19
Rental Bachelor Bedroom ,750,"6269 Cork St, Halifax, NS B3L 1Y8",2024-03-19T20:17:37.000Z,about 4 hours ago,Apartment,1,1,,Not Included,0,Month-to-month,No,110,Yes,,No,,No,,Owner,,"This room is furnished and ready for April 1.
Very nice and quiet area. location is accessible to all you need, Bus,, groceries shopping and medical. Including. Heat and hot water. Sharing kitchen, nice dining table area and washroom. Not including power and internet is sharing.
No parking, smoking, and loudly music or party.
",44.65512,-63.60718,2024-03-19
