Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name
Brand New 2 Bedrooms- Central Halifax,2400.0,"Summit Street, Halifax, NS",2024-02-29T16:00:33.000Z,about 2 hours ago,Apartment,2,1.0,Water,Not Included,1,1 Year,Limited,800,No,Laundry (In Unit),Yes,"Yard,Balcony",No,Bicycle Parking,Professional,
Available now - Furnished room for a female with separate bath ,900.0,"Wentworth Dr, Halifax, B3M 0N9",2024-02-29T01:19:19.000Z,about 17 hours ago,Apartment,1,1.0,,Not Included,1,Month-to-month,No,500,Yes,,Yes,,No,,Owner,
AWESOME 1 BEDROOM AVAILABLE,1700.0,"36 Abbey Road, Halifax, NS, B3P 2M6",2024-02-29T01:28:38.000Z,about 16 hours ago,Apartment,1,1.0,"Heat,Water",Not Included,1,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,,Professional,armdale-universalgroup.securecafe.com
BEAUTIFUL 2 BEDROOM IN WEST END,2199.0,"6969 Bayers Road, Halifax, NS, B3L 4P3",2024-02-29T01:28:43.000Z,about 16 hours ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,No,"1,200",No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Yes,Elevator in Building,Professional,bayers1-universalgroup.securecafe.com
WOW - 2 BEDROOM NEAR HALIFAX SHOPPING CENTRE,2199.0,"6969 Bayers Road, Halifax, NS, B3L 4P3",2024-02-29T01:28:47.000Z,about 16 hours ago,Apartment,2,1.0,"Heat,Water",Not Included,1,1 Year,Yes,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,Balcony,Yes,"24 Hour Security,Bicycle Parking,Storage Space",Professional,bayers1-universalgroup.securecafe.com
OPEN HOUSE SATURDAY 10-4  1 BEDROOM DOWNTOWN HALIFAX,1700.0,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",2024-02-29T01:28:51.000Z,about 16 hours ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Bicycle Parking,Elevator in Building",Professional,ogilvie-universalgroup.securecafe.com
OPEN HOUSE SATURDAY 10-4  2 BEDROOM - NEAR UNIVERSITIES,2598.0,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",2024-02-29T01:28:55.000Z,about 16 hours ago,Apartment,2,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Bicycle Parking,Elevator in Building",Professional,ogilvie-universalgroup.securecafe.com
OPEN HOUSE SATURDAY 10-4  1 BEDROOM + DEN NEAR UNIVERSITIES,2100.0,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",2024-02-29T01:29:01.000Z,about 16 hours ago,Apartment,1 + Den,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,Elevator in Building,Professional,ogilvie-universalgroup.securecafe.com
THIS WEEKEND! MULTI-BUILDING OPEN HOUSE IN SOUTH END HALIFAX!,,"1551 South Park Street, Halifax, NS, B3J 4B4",2024-02-29T01:29:05.000Z,about 16 hours ago,Apartment,1,1.0,,Not Included,0,1 Year,Limited,Not Available,No,,No,,Yes,,Professional,universalgroup.ca
OPEN HOUSE SATURDAY 10-4 - 1 BED SOUTHEND HALIFAX,,"5415 Victoria Road, Halifax, NS, B3H 4K5",2024-02-29T01:29:09.000Z,about 16 hours ago,Apartment,1,1.0,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Building),Fridge / Freezer",No,,Yes,"Pool,Bicycle Parking,Elevator in Building",Professional,southpoint-universalgroup.securecafe.com
