Title,Rent,Address,Date Posted,How Long Ago,Unit Type,Bedrooms,Bathrooms,Utilities,Wifi and More,Parking,Agreement,Pet Friendly,Size,Furnished,Appliances,Air Conditioning,Personal Space,Smoking,Amenities,Seller,Seller Name,Description
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM DOWNTOWN HALIFAX,2283,"1015 Barrington Street, Halifax, NS, B3H 4R4",2024-03-07T02:01:49.000Z,17 minutes ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,Yes,Bicycle Parking,Professional,peninsula-universalgroup.securecafe.com,"Welcome to Peninsula Place, where community and convenience come together to define the essence of an exceptional downtown neighborhood.,Discover a life of comfort enriched by five essential appliances, the convenience of in-suite laundry, and the choice of underground or outdoor parking. These elements harmonize seamlessly to create a lifestyle that's both rejuvenating and relaxed.,Each day greets you with captivating city vistas and/or views of the Halifax Harbour from your windows.,Embrace the allure of leisurely strolls to iconic destinations. Immerse yourself in the vibrant Halifax Seaport Farmers Market, wander along the bustling Halifax boardwalk, and find tranquility within the enchanting embrace of Point Pleasant Park. Convenience continues to unfold with Sobeys, Superstore, Tim Hortons, and an array of inviting bars, restaurants, and shops just a stroll away.,Features & Amenities:,Come home to Peninsula Place, where you'll find a vibrant community and all the conveniences of downtown living, right at your doorstep."
Beautiful 2 Bedroom at The Crane August 1st,2795,"1471 South Park St., Halifax, NS, B3J 2L1",2024-03-06T20:24:00.000Z,about 6 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,No,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"24 Hour Security,Elevator in Building",Professional,www.olympusproperties.ca,"Available August 1st,The Crane offers you elegant, upscale, downtown living, in one of Halifaxs most desirable districts. This two-bedroom suite offers the most refined designer touches to meet your every expectation. From the lighting to the hard surfaces, you will find the space inviting for you to add your flair. From the open-concept kitchen- living room, to the spacious light-filled living areas. The space allows you to move freely and curate and design your space according to your needs. Whether it be a unique home office space to telecommunicate during the day or to transform into your own cozy, modern oasis at night, to the best dinner party space to host your incredible evening!,One of the highlights of the space is its premium location. From views of the historic Halifax Public Gardens to views of the majestic Halifax Harbour, you can perch high atop the city skyline and soak in the atmosphere from THE Cranes many incredible vantage points. Imagine watching the sunset from your new high-end kitchen with quartz countertops. Sit atop the city skyline in Halifaxs vibrant downtown on the rooftop deck and feel the energy of the city below. With restaurants, shopping, and nightlife at your doorstep, you are moments away from any adventure, while still being able to return to your quiet oasis in minutes. Security and peace of mind are provided by our 24-hour security monitoring. The Crane is the epitome of convenience being just moments away from Universities, hospitals, and major government offices. You can choose to walk or cycle to work and avoid rush hour traffic as The Crane is the quintessential downtown location. You will be proud to call The Crane your new home!,Elegant Features Include:,Designer-grade finishes,Open concept design,Balcony in all units, wrap-around balcony in many units, terraces in some,6 high-end GE appliances in all units, including fridges with ice makers and convection ovens.,Incredible views from every unit,Beautiful natural light-filled spaces,Bulldog heat pumps that provide heating, air conditioning, and fresh air make-up,Beautiful Quartz countertops,High-speed elevator will have you to your destination in seconds,Most units have oversized windows which allow an abundance of natural light into the units,Window coverings provided on all windows and patio doors,9 ft. exposed concrete ceilings in all living rooms,Heated underground parking is available for a monthly fee,Heated underground bike storage is available,8 Concrete shear walls between units provide superior soundproofing and ultra-quiet living,All corridors have porcelain ceramic tiles throughout. No carpets,50+ security cameras monitoring and digitally recording the property 24/7 365 days the year,Central air conditioning for all common area corridors and lobby,The building is wired for high-speed fibre optic internet, telephone, and television,Smoke-free building (including balconies),Onsite professional management,SORRY, NO PETS OR NO SMOKING IS PERMITTED,(Photos are of A SIMILAR unit)"
2 BEDROOM FULLY LAMINATE INCLUDES HEAT AND HOT WATER + BALCONY,1700,"Old Sackville Road, Lower Sackville, NS",2024-03-06T20:25:23.000Z,about 6 hours ago,Apartment,2,1,"Heat,Water",Not Included,1,1 Year,Limited,1,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,Outdoors only,,Owner,,"July 6th — 2 Bedroom starting at $1700,Available at Sackville View Apartments is situated next to the RCMP station on Old Sackville Road which is just off of Hwy 102 Beaver Bank exit and walking distance to the metro link.,The rent includes Heat, Hot water, Fridge, Stove, Microwave, Dishwasher, 1 Parking, Onsite laundry facilities, balcony, Building Manager, and Security doors.,Pets Allowed with approval of Property Manager but NO DOGS.,Close to shopping center, and the bus terminal.,We allow smoking outside on the balcony only.,If interested in the apartment, please apply online at our website at www.bandnproperties.ca and someone in the office will be in contact with you regarding the apartment to do a showing.,For General information on the apartment please call Patrick at 902-830-1624,Pictures are general pictures may not be of the actual apartment for rent.,For up to date availabilities and availabilities in other apartments in the area please visit our website at www.bandnproperties.ca"
"Downtown Halifax Retreat: 2 Bed, 1 Bath Apartment with Balcony!",2350,"1619 Market Street, Halifax, NS, B3J 1K8",2024-03-06T20:36:00.000Z,about 6 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,913,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,Elevator in Building,Professional,,"Nestled in the vibrant Entertainment District of downtown Halifax, this superb residence offers unparalleled convenience. Situated directly opposite the Nova Center, it boasts proximity to an array of restaurants, bars, the Scotiabank Center, and more.,The Dillon provides swift transit access to Saint Mary's University and Dalhousie University, making it an optimal choice for students and downtown professionals alike.,Rent for this unit is $2350.00 and includes heat and water. Additionally, the suites feature air conditioning, though it is not included in the rent.,Please note that this property does not offer parking, maintains a smoke-free environment, and does not permit dogs.,For further details or to schedule a viewing, kindly reach out to Fabio at 902-580-1322."
"Best View in the City - Penthouse 1 Bed, 1 Bath Unit at the Vuze",2450,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-03-06T20:36:00.000Z,about 6 hours ago,Apartment,1,1,"Heat,Water",Not Included,0,1 Year,Limited,500,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,No,"Gym,24 Hour Security,Elevator in Building",Professional,www.templetonproperties.ca,
"2 BEDROOM, 2 BATHS, CLOSE TO ALL AMENITIES, INCLUDES HEAT AND HW",2175,"Arkle Lane, Lower Sackville, NS",2024-03-06T20:37:19.000Z,about 6 hours ago,Apartment,2,2,"Heat,Water",Not Included,0,1 Year,Limited,1,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",Yes,Balcony,Outdoors only,"Gym,24 Hour Security,Bicycle Parking,Storage Space,Elevator in Building",Owner,,"2 Bedroom Available Now or Later starting at $2175 per month,Available at Mustang Apartments is situated next to the Sobeys off of Old Sackville Road which is just off of Hwy 102 Beaver Bank exit and walking distance to the metro link. . Walking trail to shopping center, and the bus terminal,The rent includes Heat, Hot water, Fridge, Stove, Dishwasher, Microwave, Washer & Dryer, Heat pump, A/C unit, Balcony, on site Building Manager, Fitness Room, Community Room and Security doors.,Parking is not included in the rent. Indoor parking available, as well as charging station for electric cars. Pets Allowed with approval of Property Manager but NO DOGS.,We allow smoking outside on the balcony only.,Attached is a video of one of the 2 Bedrooms:
https://youtu.be/2_ZEms8E0vk,For General information or for a viewing in person of the apartment please call Patrick at 902-830-1624. Please try to call between 9am and 4:30pm Monday-Friday.,If interested in a video viewing of the apartment, please apply online at our website at www.bandnproperties.ca and someone in the office will be in contact with you regarding your application.,For up to date or other availabilities please visit our website at www.bandnproperties.ca"
Available April 1 - Two Bedroom Apartment in Dartmouth,1795,"Dartmouth, NS B2X 2X4",2024-03-06T20:41:12.000Z,about 6 hours ago,Apartment,2,1,"Hydro,Heat,Water",Not Included,0,1 Year,Limited,700,No,"Laundry (In Building),Fridge / Freezer",No,,Outdoors only,,Professional,,"Available April 1st - Two Bedroom Apartment in Dartmouth,Newly renovated unit in Main Street district of Dartmouth near all amenities and along major transit routes available April 1st.,Message us to arrange a viewing today before its gone!,Rent is $1,795.00 monthly
Includes: Heat, Water, Hot Water,- Cat friendly
*Tenant pays for power
**Parking is extra at $50 monthly (if available)
***12 Month Fixed Term Lease"
The Vuze - 2 Bedroom Apartment for Rent,2600,"5633 Fenwick St., Halifax, NS, B3H 1R1",2024-03-06T20:42:00.000Z,about 6 hours ago,Apartment,2,1,"Heat,Water",Not Included,0,1 Year,Limited,Not Available,No,"Laundry (In Unit),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,Elevator in Building",Professional,www.templetonproperties.ca,"The Vuze is small dog friendly! Contact us today for details*,Imagine waking up, looking out your window, and observing the most amazing view of the city in our luxury apartments for rent in Halifax. Grabbing the elevator down to the fitness facility, equipped with everything required to fulfill all of your workout needs. Picking up your favorite local coffee across the street before heading to work.,Now, stop imagining and come live it. Welcome to The Vüze. Our Euro 1, 1, and 2 bedroom Halifax apartments are located in the heart of the city, you have everything you need just footsteps away. These apartment rentals are made with fine detail to make your home not just beautiful, but also practical with 6 stainless still appliances, modern flooring and cabinets and bright spacious suites.,Inside our building residents enjoy a gym, social room, on site store, bakery, and grand lobby with free WIFI,The residents at The Vüze will be the beginning of what will be known as the South Village. Where together we can grow, flourish, and create history.,Contact us today and make the Vüze your new home."
Seeking Affordable 1-Bedroom Apartment near Dartmouth ,,"Dartmouth Rd, Bedford, NS B4A",2024-03-06T20:47:23.000Z,about 6 hours ago,Apartment,1,1,,Not Included,2,1 Year,No,11,No,,Yes,,No,,Owner,,"Looking for a 1-bedroom apartment to rent near Dartmouth. Not interested in shared accommodations or expensive units. Budget is $1300-$1600 per month. Clean, responsible tenant with steady income. Please contact me if you have a suitable place available. Thank you!"
"Beautiful, Upscale 2 bedroom in highly desirable The James",2395,"5620 South Street, Halifax, NS, B3J 0A7",2024-03-06T20:54:00.000Z,about 5 hours ago,Apartment,2,1,Water,Not Included,0,1 Year,No,Not Available,No,"Laundry (In Building),Dishwasher,Fridge / Freezer",No,Balcony,No,"Gym,24 Hour Security,Bicycle Parking,Elevator in Building",Professional,www.olympusproperties.ca,"REDUCED PRICE,Welcome to The James!,AVAILABLE NOW Or March 1st,To view please contact Karlo at 902-802-1704, To apply please fill out the online application on our site's homepage: WWW.OLYMPUSPROPERTIES.CA,The James is a luxury apartment complex conveniently located on South Street, When you walk into the lobby of this property you are greeted with a beautiful entranceway, you can feel safe living downtown with the secured building with 24-hour camera surveillance, no need for a car when you can walk to plenty of wonderful restaurants, cafe's, fresh groceries and all the wonderful shops on Spring Garden Road. Students and professionals alike will love the convenience of the downtown location while having the luxury of an onsite fitness center, fantastic views of the downtown core, underground heated parking/ outdoor parking, and onsite professional resident managers, This fantastic 2 Bedroom unit features, amazing views of the city. What better place to sip your morning latte than your private balcony overlooking to City.,Each unit comes with Stainless steel appliances dishwasher, a fridge, a stove, and water all included. This property is Pet/smoke-free.,Pictures are of a similar unit."
