title,address,price,bedrooms,bathrooms,pets,description,available_date,extraction_date
36 Cowie Hill – BEAUTIFUL NEWLY UPDATED 2 BED TOP FLOOR COWIE HILL UNIT AVAILABLE NOW!,"36 Cowie Hill Road, Halifax, NS, Canada","$2,200",2,1,Limited,"Welcome to 36 Cowie Hill! This bright, spacious unit is conveniently located just a 10 minute drive from Downtown Halifax and just a short 3 minute drive from Long Lake Provincial Park! We are located on major bus routes and not far from major amenities. This unit has been newly updated and ready to welcome new tenants now! Laundry is located on the ground level of the property. 2 bed, 1 bath 2200 + utilities Professionally managed by Happy Place Property Management. www.happyplacepm.com Please email rent@happyplacepm.com or text 902 220 5666 for an application and viewing time today!  ",Immediately,2024-03-17
423-15 Vimy Ave – BEAUTIFUL 1 BED 1 BATH FURNISHED CONDO AVAILABLE MAY 1ST!,"15 Vimy Avenue, Halifax, NS, Canada","$2,000",1,1,Limited,"Welcome to Vimy Avenue! This charming 1 bed 1 bath condo is located on major bus routes (3,4 & 135) and located just a short walk from 2, 136 and 138. This condo comes with both 1 underground and 1 above ground parking space and is just a 15 minute drive from downtown Halifax. The space comes with 6 appliances, a balcony and is tastefully furnished. We are pet friendly on a case by case basis. There is a gym located on site as well as a storage locker. Rent is 2000+power. Please email rent@happyplacepm.com or text 902 220 5666 to get an application & viewing time today. Available May 1st!",May 1st,2024-03-17
130B OLD BEAVERBANK ROAD – 1 BED 1 BATH LOWER SACKVILLE UNIT AVAILABLE MAY 1ST,"130 Old Beaver Bank Road, Lower Sackville, NS, Canada","$1,375",1,1,Limited,"Welcome to 130B Old Beaverbank Road! This bottom level unit is conveniently located and only steps away from major amenities such as Sobeys, KFC, Canadian Tire, Superstore, Giant Tiger, and more! We are less than a 10 minute walk from major bus routes. There is in suite laundry included! Rent is 1375+ utilities Please email rent@happyplacepm.com for an application and viewing. Please note that there is no parking for this unit. Email rent@happyplacepm.com or text 902 220 5666 for an application and viewing time! Professionally managed by Happy Place Property Management.",May 1st,2024-03-17
MAY 1st Hammonds Plains – STUNNING LAKEFRONT FAMILY HOME with HOT TUB!,"324 Kingswood Drive, Hammonds Plains, NS, Canada","$3,500",4,2.5,Yes,"Stunning Lakefront Home Kingswood Drive, Hammonds Plains. Rent is $3500 + Utilities Features Include: Gorgeous Kitchen with amazing long antique granite island 4 bedrooms 2.5 Bathrooms Mature Apple Trees Hot Tub Detached garage Shed Lake Front for paddle boarding, kayaking or skating in winter Decks and large yard Fenced in Garden Area Pet Friendly Total living space is 3059 Square footage Professionally Managed by www.happyplacepm.com Heat is oil and heat pump Water is included Contact rent@happyplacepm.com to schedule a viewing and for an application package.","May 1st, 2024",2024-03-17
68 Melrose – SPACIOUS 3 BR MAIN LEVEL UNIT 1 BATH GARAGE/BASEMENT STORAGE,"68 Melrose Avenue, Halifax, NS, Canada","$2,196",3,1,Limited,"Welcome to Melrose Avenue! This spacious 3 bedroom rental is full of natural light. It comes with in suite laundry in the basement along with ample space for storage. There is parking and access to the backyard. The space is 2195+ utilities. Please email rent@happyplacepm.com for an application and viewing time,  ",Immediately,2024-03-17
4-3223 Veith Street – 1 BED 1 BATH NORTH END APT W/ PARKING AVAILABLE APRIL 1ST!,"3223 Veith Street, Halifax, NS, Canada","$1,450",1,1,Limited,"Welcome to Veith Street! This apartment is located in North End Halifax, just a 10 minute walk from the downtown core and nestled on a quiet residential street. This unit comes with 1 parking space and there is shared, coin operated laundry on the same floor. Water is included, NSP and wifi will be responsibility of the tenant. Rent is $1450 Please inquire today! Email rent@happyplacepm.com for an application and viewing time. Professionally managed by Happy Place Property Management  ",April 1,2024-03-17
52 Highrigger – 2 BR 2 BATHROOM MIDDLE SACKVILLE HOME WITH LARGE DECKS,"52 Highrigger Crescent, Middle Sackville, NS, Canada","$2,250",2,2,Limited,"Welcome to Highrigger Crescent! This charming home is available for May 1st! The space is a 2 BR, 2 bath charming home perfect for a small family or mature couple. There are 2 large decks off the back that are perfect for entertaining and heat pumps for heating and cooling. In suite laundry and parking included. Rent is $2250 + utilities Please email renthappyplacepm.com for an application & viewing time.",May 1,2024-03-17
119 Briarwood Drive – BEAUTIFUL 3 BED 1.5 BATH EASTERN PASSAGE HOME AVAILABLE APRIL 1ST,"119 Briarwood Drive, Eastern Passage, NS, Canada","$2,250",3,1.5,Limited,"Welcome to 119 Briarwood Drive! This charming property is conveniently located near multiple restaurants, Fisherman’s Cove, major bus routes and MacCormack’s Provincial Park. The space boasts 3 bedrooms, 1.5 bathrooms and comes with a storage shed around back with a lawnmower for the tenants’ use. There are heatpumps for max efficiency, in suite laundry and a spacious deck to enjoy outside with. Rent is $2250 + utilities available April 1st! Please email rent@happyplacepm.com or text 902 220 5666 for an application and viewing time.",April 1st,2024-03-17
"2570 Westmount Street, Halifax – CHARMING 3 BED WESTEND HOME AVAILABLE NOW!","2570 Westmount Street, Halifax, NS, Canada","$2,100",3,1,Limited,"Welcome to 2570 Westmount Street! This charming home is located in Halifax’s coveted West End just off of Chebucto Road. You’re just steps away from all of the amenities of Quinpool Road, and just an 8 minute drive from downtown Halifax. The property comes with 3 bedrooms and 1 bathroom. Rent is $2100/month + Power. Please email rent@happyplacepm.com or text 902 220 5666 for an application and showing time. Professionally managed by Happy Place Property Management",Immediately,2024-03-17
3223 Veith – CHARMING TOP FLOOR 3 BED 1 BATH NORTH END APT AVAILABLE APRIL 1ST,"3223 Veith Street, Halifax, NS, Canada","$2,300",3,1,Limited,"Welcome to Veith Street! Veith Street is a quiet, residential street that is a short walk from the downtown core. It’s located in the desirable North End and would be perfect for military members at is a 10 minute walk from the Stadacona base! Downtown Dartmouth is 10 minutes away. This charming, sunny 3 bedroom 1 bathroom top floor unit is available now! There is a balcony overlooking the parking lot, in suite laundry, and 1 parking space included. Water is included in this rental price. Rent is $2300 + Utilities Pet friendly on a case by case basis. Email rent@happyplacepm.com for an application & viewing time.      ",April 1st,2024-03-17
RENTED – 29 CALEDONIA ROAD – DARTMOUTH: BEAUTIFULLY RENOVATED 3 BED 1.5 BATH DUPLEX!,"29 Caledonia Road, Dartmouth, NS, Canada",,3,1.5,No,"Welcome to 29 Caledonia Road, Dartmouth Rent $1995.00 /Month + NS Power and Water Features Include: Great Location just off Main St, close to schools and all amenities. This duplex has been renovated from the ground up. South facing the new larger windows allow in great light on all levels. Walking in on the main floor the entrance has a bench, storage and hooks, which opens to the large living room with picture window. Beautiful eat-in kitchen has all the “bells & whistles” from Stainless appliances to pot drawers, glass back splash, new white cupboards, and a convenient powder room. Door leads to back deck. The downstairs has a large rec room and laundry * Sorry no Pets * Here is a list of things you will find just around the corner: Nova Scotia Community College YMCA sports center and Pool Boys and Girls Club Beazley Track and Field Skate Board Park St Thomas More Catholic Church Ian Forsyth Elementary School Caledonia Junior High school Prince Andrew High School French schools École Bois-Joli and Carrefour Police station satellite office Bus stop Montebello Tennis courts Sobeys, Shoppers, Dairy Queen, Tim Hortons, Mic Mac Mall, MacDonald, Bens Bakery, Daves Fruit and Vegetable Market 5 minutes to Burnside, Dartmouth, MicMac Mall, Lake Banook Please email rent@happyplacepm.com to receive a rental application.",Rented,2024-03-17
2328 Agricola Street – MODERN 2ND FLOOR AGRICOLA ST 1 BED 1 BATH UNIT March 15th!,"2328 Agricola Street, Halifax, NS, Canada",,1,1,Limited,"Welcome to Agricola Street! This trendy, newly updated apartment is now available for rent! This location can’t be beat, you’re less than a 5 minute drive (or 20 minute walk) from Halifax’s downtown core, and steps away from North End favourites such as Hali Deli, Bar Kismet, Young Pocha, etc. This space is apart of an 8 unit complex but has its own civic address and entrance. This suite is located on the upper level and comes with stainless steel kitchen appliances and in suite laundry. There is also a spacious deck that overlooks the courtyard area. Lease start date can be flexible. Ideally March 15 – April 1st! We are considering pets on a case by case basis. Please email rent@happyplacepm.com for more details",March 15,2024-03-17
