description,rent,sq_ft,availability,amenities,extraction_date
1 Bedroom + 1 Bathroom          ,,880,No Units Currently Available.          ,"Balcony, Coin-Operated Laundry, Dishwasher, Elevator, Heat, Hot Water, Indoor Parking (additional cost), Intercom, Live-In Resident Managers, Public Transit, Refrigerator, Stove, Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedroom + 2 Bathrooms          ,,920,No Units Currently Available.          ,"Balcony, Coin-Operated Laundry, Dishwasher, Elevator, Heat, Hot Water, Indoor Parking (additional cost), Intercom, Live-In Resident Managers, Public Transit, Refrigerator, Stove, Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedroom + 2 Bathrooms (Corner)          ,,1260,No Units Currently Available.          ,"Balcony, Coin-Operated Laundry, Dishwasher, Elevator, Heat, Hot Water, Indoor Parking (additional cost), Intercom, Live-In Resident Managers, Public Transit, Refrigerator, Stove, Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedroom + 2 Bathrooms (Shared)          ,,1240,No Units Currently Available.          ,"Balcony, Coin-Operated Laundry, Dishwasher, Elevator, Heat, Hot Water, Indoor Parking (additional cost), Intercom, Live-In Resident Managers, Public Transit, Refrigerator, Stove, Video Surveillance, Wired for Internet & Cable",2024-03-17
Hogarth          ,,1800,No Units Currently Available.          ,"Dishwasher, Fireplace, Hot Water, Public Transit, Refrigerator, Storage Unit, Stove, Underground Parking (additional cost), Upper & Lower Balconies, Washer & Dryer",2024-03-17
Constable          ,,1800,No Units Currently Available.          ,"Dishwasher, Fireplace, Hot Water, Public Transit, Refrigerator, Storage Unit, Stove, Underground Parking (additional cost), Upper & Lower Balconies, Washer & Dryer",2024-03-17
2 Bedroom + 1 Bathroom          ,,,No Units Currently Available.          ,"Balcony, Dishwasher, Elevator, Hot Water, Intercom, Outdoor Parking, Public Transit, Refrigerator, Resident Manager, Stove, Washer & Dryer, Wired for Internet & Cable",2024-03-17
2 Bedroom + 1.5 Bathrooms          ,,,No Units Currently Available.          ,"Balcony, Dishwasher, Elevator, Hot Water, Intercom, Outdoor Parking, Public Transit, Refrigerator, Resident Manager, Stove, Washer & Dryer, Wired for Internet & Cable",2024-03-17
Studio          ,,560,No Units Currently Available.          ,"Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
1 Bedroom          ,1800,740,"Available April 1st, 2024.          ","Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
1 Bedroom + Den          ,1900,820,"Available April 1st, 2024.          ","Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedroom + 1 Bathroom          ,,1025,No Units Currently Available.          ,"Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedroom + 1.5 Bathrooms          ,,930,No Units Currently Available.          ,"Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedrooms + 2 Bathrooms          ,,1020,No Units Currently Available.          ,"Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
2 Bedrooms + 2 Bathrooms          ,2500,1030,"Available April 1st, 2024.          ","Dishwasher, Elevator, Heat, Hot Water, Intercom, Laundry Facilities per Floor, Live-In Resident Managers, Public Transit, Refrigerator, Rooftop Patio, Stove, Underground Parking (additional cost), Video Surveillance, Wired for Internet & Cable",2024-03-17
