availability,Vacancy,Building_Name,Building_Location,city,latitude,longitude,type,price,beds,beds2,sq_feet,baths,baths2,cats,dogs,Heat,Water,Electricity,Internet
Jun 01,1,The Rooks of West Bedford,16 Rooksview Lane,Halifax,44.711953857811,-63.714620717444,Apartment,1695,1,3,1101,1,3,2,0,True,True,,
Immediate,1,Suites on South Park ,1121 South Park Street,Halifax,44.636641,-63.57638,Apartment,1450,studio,,205,1,,0,0,True,True,True,
Immediate,1,Ocean Brook Apartments,40 Charlotte Lane,Halifax,44.696444,-63.66276,Apartment,1965,1,2,1470,1,,2,2,True,True,,
Immediate,1,Harbour View Apartments,"2334 Longard Plaza, 2309, 2319, 2327, 2334 Brunswick St., 5214 Gerris",Halifax,44.6559,-63.585078,Apartment,1975,1,3,1052,1,,2,2,True,True,,
Immediate,1,Park Victoria Apartments,1333 South Park Street,Halifax,44.640385,-63.578674,Apartment,2110,1,2,614,1,,2,2,,True,,
Immediate,1,The Macdonald,5885 Cunard Street,Halifax,44.6513341,-63.5936874,Apartment,2050,1,2,760,1,,2,2,True,True,,
Immediate,1,19 Twenty Apartments,1920 Brunswick Street,Halifax,44.6496401,-63.5806813,Apartment,2030,studio,2,507,1,,2,2,,,,
Immediate,1,Cunard Court ? Lowrise,2073-2077 Brunswick Street,Halifax,44.6518762,-63.5802139,Apartment,1995,1,,620,1,,2,2,,True,,
Immediate,1,The Welsford Apartments,2074 Robie Street,Halifax,44.648783,-63.591276,Apartment,1750,studio,1,507,1,,2,2,,True,,
Immediate,1,The Camp,2440 Agricola Street,Halifax,44.653404,-63.590975,Apartment,1800,studio,,506,1,,2,0,,,,True
Immediate,1,Stonecrest Village,80 Chipstone Close - 81 Radcliffe Drive,Halifax,44.6679796,-63.670945,Apartment,1895,1,2,1350,1,,2,2,True,True,,
Immediate,1,Cunard Apartments,2065 Brunswick Street,Halifax,44.6518762,-63.5802139,Apartment,1950,1,,572,1,,2,2,,True,,
Immediate,1,Halifax Apartments ? Scotia Tower,1991 Brunswick Street,Halifax,44.6491657,-63.5798265,Apartment,1895,1,2,659,1,,2,2,,True,,
Immediate,1,The Shuffle,65 King Street,Halifax,44.6660228,-63.5680012,Apartment,1350,studio,2,243,1,2,2,2,,,,
Immediate,1,Spring Garden,5770 Spring Garden Road,Halifax,44.641591,-63.581225,Apartment,1845,studio,2,1005,1,,2,2,,True,,
Immediate,1,Welcome to The Vuze! ,5633 Fenwick St.,Halifax,44.6380814,-63.5753178,Apartment,1895,1,2,1090,1,2,2,2,,,,
Immediate,1,Somerset Place Apartments,1030 South Park Street,Halifax,44.635115,-63.576446,Apartment,1780,studio,2,475,1,,2,2,,True,,
Immediate,1,The Scotian,5222 Green St.,Halifax,44.6375358,-63.5703159,Apartment,1650,1,,471,1,,0,0,,,,
Apr 20,1,The Vincent Coleman,3330 Barnstead Lane,Halifax,44.6538812,-63.6250043,Apartment,2130,2,,1,2,,2,2,True,True,,
May 01,1,Welcome to Prince Joe Castle!,5778 South St.,Halifax,44.6374433,-63.5797438,Apartment,1600,studio,2,310,1,1.5,2,0,True,,,
May 01,1,Welcome to the Palace Royale! ,333 Main Ave.,Halifax,44.6514672,-63.6537874,Apartment,2500,2,,0,2,,2,0,True,,,
May 01,1,Margaret Ann,1112 Tower Rd.,Halifax,44.6360848,-63.5786275,Apartment,1750,1,,292,1,,0,0,,,,
May 01,1,Fort Knox,3025 Olivet St.,Halifax,44.6476276,-63.623603,Apartment,1500,studio,2,298,1,,0,0,,,,
May 01,1,Marlborough,1066 Tower Rd.,Halifax,44.6351521,-63.5806681,Apartment,1750,1,2,567,1,,2,0,True,,,
Jun 01,1,Lotus Point,101 Ochterloney St,Halifax,44.668327634993,-63.566661179078,Apartment,2150,1,,850,1,,2,2,True,True,,
Aug 01,1,Halifax Apartments ? MacKeen Towers,2001 Brunswick Street,Halifax,44.6491657,-63.5798265,Apartment,2065,1,,741,1,,2,2,,True,,
Immediate,1,,"2070 Quingate Place, Quinpool Rd",Halifax,44.6472727,-63.5950381,Room For Rent,1200,1,,,1,,0,0,,,,
Immediate,1,,1585 South Park Street,Halifax,44.6440855,-63.5800391,Apartment,6000,2+den,,1805,2.5,,0,0,,,,
Immediate,1,,1595 Barrington St,Halifax,44.6461576,-63.5733838,Apartment,3450,1,2,570,1,2,0,0,True,True,True,True
Immediate,1,,5515 Clyde Street,Halifax,44.6417597,-63.5767077,Apartment,3000,1,3,1055,1,2,2,0,True,True,True,True
Immediate,1,,104 Albro Lake Road,Halifax,44.67984,-63.5829679,Apartment,779,1,2,,1,,0,0,True,True,,
Immediate,1,,3 Autumn Drive,Halifax,44.6014892,-63.608176,Apartment,769,1,2,,1,,0,0,,,,
May 01,1,,2735 Clifton Street,Halifax,44.6561443,-63.5994857,Apartment,1695,1,2,1005,1,2,0,0,True,True,,
No Vacancy,0,,995 Mclean Street,Halifax,44.6344785,-63.5742048,Apartment,,1+den,3,,1,2,2,0,True,True,,
No Vacancy,0,,30 Primrose Street,Halifax,44.6829193,-63.5845945,Apartment,,1,2,,1,,0,0,True,True,,
No Vacancy,0,,28 Primrose Street,Halifax,44.6828166,-63.5847273,Apartment,,1,2,,1,,0,0,True,True,,
No Vacancy,0,,5 Forbes Street,Halifax,44.6032745,-63.6085356,Apartment,,1,2,,1,,0,0,True,True,,
No Vacancy,0,,19 Primrose Street,Halifax,44.6826322,-63.5860705,Apartment,,1,2,,1,,0,0,True,True,,
No Vacancy,0,,12 Trinity Ave,Halifax,44.6803387,-63.5929689,Apartment,,1,,,1,,0,0,,,,
