status,company_slug,price_low,price_high,bedrooms,name,prices_low.0,prices_low.1,prices_low.2,prices_low.3,prices_high.0,prices_high.1,prices_high.2,prices_high.3,_geoloc.lat,_geoloc.lng,features.ac,features.parking,features.furnished,features.fireplace,features.yard,features.balcony,features.pool,features.gym,features.party_room,features.laundry,features.elevator,features.dogs_allowed,features.cats_allowed,features.electricity,features.water,features.gas,features.tv,features.internet
Active,metcap-living,249900,249900,[2],"211, 221 Glenforest Drive",0,0,249900,0,0,0,249900,0,44.6568908,-63.6487225,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Active,metcap-living,317200,334600,"[2, 3]",1070 Barrington Street,0,0,317200,334600,0,0,317200,334600,44.6375816,-63.5699147,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
Active,metcap-living,169900,214900,"[0, 1, 2]","36, 60, 65 Primrose Street",169900,182900,214900,0,169900,182900,214900,0,44.6852355,-63.5819215,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False
Active,metcap-living,164900,214900,"[0, 1, 2]","15, 25, 35 Leaman Drive",164900,182900,214900,0,164900,182900,214900,0,44.6864257,-63.5805245,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False
Active,metcap-living,179900,179900,[1],"31, 35 Highfield Park Drive",0,179900,0,0,0,179900,0,0,44.6882323,-63.5874863,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Active,metcap-living,159900,214800,"[0, 1, 2]","1, 6, 7, 10 Crystal Drive",159900,182900,214800,0,159900,182900,214800,0,44.6864035,-63.5832201,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False
Active,metcap-living,182900,216900,"[1, 2]","1, 3 Farthington Place",0,182900,216900,0,0,182900,216900,0,44.6882100,-63.5834700,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False
Active,metcap-living,269300,269300,[2],40 Bedros Lane,0,0,269300,0,0,0,269300,0,44.6997322,-63.6656272,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False
Active,metcap-living,253300,253300,[2],22 Bedros Lane,0,0,253300,0,0,0,253300,0,44.6991640,-63.6666209,False,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False,False,False
Active,metcap-living,149900,149900,[1],7 Jackson Road,0,149900,0,0,0,149900,0,0,44.6809783,-63.5854438,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False
Active,metcap-living,149900,149900,[1],498 Herring Cove Road,0,149900,0,0,0,149900,0,0,44.6064507,-63.6144409,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Active,skyline-living,213000,213000,[2],3330 Barnstead Lane (Barnstead Lane & Bayers Road),0,0,213000,0,0,0,213000,0,44.6538774,-63.6228156,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False
Active,capreit,215000,215000,[1],101 Ochterloney St  ,0,215000,0,0,0,215000,0,0,44.6683530,-63.5665757,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,metcap-living,172900,172900,[2],"105, 109, 111, 113, 133 Pinecrest Drive",0,0,172900,0,0,0,172900,0,44.6860704,-63.5857400,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
Active,capreit,175000,198500,"[0, 1]",2074 Robie Street,175000,198500,0,0,175000,198500,0,0,44.6485649,-63.5916358,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,205000,255500,"[1, 2]",5885 Cunard Street,0,205000,255500,0,0,205000,255500,0,44.6513303,-63.5914987,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,189500,236000,"[1, 2]","79,81 Radcliffe Drive & 80,85,90, 95 Chipstone Close",0,189500,236000,0,0,189500,236000,0,44.6679796,-63.6621903,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,184500,269500,"[0, 1, 2]",5770 Spring Garden Road,184500,211000,269500,0,184500,211000,269500,0,44.6413544,-63.5812567,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,178000,273500,"[0, 1, 2]",1030 South Park Street,178000,197000,273500,0,178000,197000,273500,0,44.6351775,-63.5767259,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,211000,264000,"[1, 1.5, 2]",1333 South Park Street,0,211000,264000,0,0,211000,264000,0,44.6405746,-63.5782151,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,196500,238000,"[1, 2]",40 Charlotte Lane,0,196500,238000,0,0,196500,238000,0,44.6964016,-63.6631352,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,197500,307000,"[1, 2, 3]","2334 Longard Plaza, 2309, 2319, 2327, 2334 Brunswick St., 5214 Gerrish St.",0,197500,254000,307000,0,197500,254000,307000,44.6553230,-63.5843679,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,189500,249000,"[1, 2]",1991 Brunswick Street,0,189500,249000,0,0,189500,249000,0,44.6500653,-63.5780832,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,206500,206500,[1],2001 Brunswick Street,0,206500,0,0,0,206500,0,0,44.6505954,-63.5782825,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,199500,199500,[1],2073-2077 Brunswick Street,0,199500,0,0,0,199500,0,0,44.6523005,-63.5803143,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,195000,195000,[1],2065 Brunswick Street,0,195000,0,0,0,195000,0,0,44.6522695,-63.5802869,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active,capreit,203000,272500,"[0, 1, 2]",1920 Brunswick Street,203000,217500,272500,0,203000,217500,272500,0,44.6496401,-63.5784926,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
