,Rent,Bedrooms,Bathrooms,Parking,Size,Seller Name,Latitude,Longitude,Address,Parking Cost,Heat,Water,Hydro,Balcony,Yard,Laundry (In Unit),Laundry (In Building),Dishwasher,Fridge / Freezer,bathroom_p5,bedroom_den,bachelor_studio,major_region,minor_region,Furnished_Yes,Air Conditioning_Yes,Seller_Professional,walkScore,transitScore,bikeScore,Cleaned Seller Name
0,1829,1,1,0,722,www.metcap.com,44.68643,-63.58052,"35 Leaman Drive, Dartmouth, NS, B3A 2K6",1.0,1,1,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,54,49,43,Metcap
1,1741,1,1,0,607,www.metcap.com,44.68558,-63.58379,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Burnside,False,False,True,52,50,40,Metcap
2,1646,0,1,0,700,www.metcap.com,44.68558,-63.58379,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2.0,1,1,0,0,0,0,1,0,1,0,0,1,Dartmouth,Burnside,False,False,True,52,50,40,Metcap
3,1599,0,1,0,603,www.metcap.com,44.68643,-63.58052,"35 Leaman Drive, Dartmouth, NS, B3A 2K6",1.0,1,1,0,0,0,0,1,0,0,0,0,1,Dartmouth,Burnside,False,False,True,54,49,43,Metcap
4,2549,2,1,0,1129,www.metcap.com,44.65689,-63.64872,"221 Glenforest Drive, Halifax, NS, B3M 1J3",2.0,0,0,0,0,0,1,0,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,70,51,47,Metcap
5,1699,0,1,0,429,www.metcap.com,44.68524,-63.58192,"65 Primrose Street, Dartmouth, NS, B3A 4C5",1.0,1,1,0,0,0,0,1,1,1,0,0,1,Dartmouth,Burnside,False,False,True,60,50,41,Metcap
6,1829,1,1,0,1047,www.metcap.com,44.68524,-63.58192,"65 Primrose Street, Dartmouth, NS, B3A 4C5",1.0,1,1,0,0,0,0,1,1,1,0,0,0,Dartmouth,Burnside,False,False,True,60,50,41,Metcap
7,2500,1,1,1,1200,,44.65378,-63.59629,"Clifton St, Halifax, NS B3K",0.0,1,1,1,1,1,1,0,0,0,0,0,0,Halifax Peninsula,NorthEnd,True,True,False,96,69,92,Owner
8,2300,2,1,1,1050,,44.64386,-63.61678,"Philip Street, Halifax, NS",0.0,1,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,88,62,55,Owner
9,2950,2,2,0,1045,,44.65242,-63.58617,"5560 Cunard Street, Halifax, NS",1.0,0,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,98,72,89,Owner
10,2300,2,2,1,1300,,44.64851,-63.65652,"35 Bently Drive, Halifax, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,False,False,41,42,39,Owner
11,2125,1,1,0,600,,44.64267,-63.57595,"Queen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,99,67,62,Owner
12,3025,2,2,0,1350,,44.63459,-63.57843,"Tower Road, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,False,77,53,59,Owner
13,1995,1,1,0,600,,44.64153,-63.5763,"Birmingham Street, Halifax, NS",1.0,0,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,10,72,74,Owner
14,2095,2,1,0,928,www.metcap.com,44.77075,-63.69642,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Sackville,Lower Sackville,False,False,True,59,47,26,Metcap
15,2700,3,1,0,900,,44.65515,-63.58836,"Halifax, NS B3K 3B9",125.0,1,1,0,0,1,0,1,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,96,70,87,Not Given
16,2250,1,1,0,1000,,44.63943,-63.5781,"Halifax, NS B3J 2K8",175.0,1,1,1,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,99,67,67,Not Given
17,1800,1,1,0,652,www.arcmanagement.ca,44.62768,-63.5835,"Halifax, NS B3H 4K3",,1,1,1,0,1,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,54,51,53,Arcmanagement
18,1750,1,1,0,652,www.arcmanagement.ca,44.62768,-63.5835,"Halifax, NS B3H 4K3",1.0,1,1,1,1,1,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,54,51,53,Arcmanagement
19,1700,2,1,0,700,,44.68329,-63.54435,"Dartmouth, NS B2X 2X4",50.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Dartmouth Downtown,False,False,True,71,46,51,Not Given
20,1850,2,1,1,800,twin-city.lws1.com,44.67059,-63.48869,"10 Cumberland Drive, Dartmouth, NS, B2V 2C7",0.0,0,1,0,1,0,1,0,1,1,0,0,0,Dartmouth,Cole Harbour,False,True,True,69,38,41,Twin City
21,1799,1,1,0,725,www.metcap.com,44.68823,-63.58749,"35 Highfield Park Drive, Dartmouth, NS, B3A 4V4",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,61,49,42,Metcap
22,2195,1,1,0,740,,44.64272,-63.57688,"Birmingham Street, Halifax, NS",1.0,1,1,0,0,0,1,0,1,1,1,0,0,Halifax Peninsula,Downtown,False,True,False,10,72,74,Owner
23,1839,2,1,0,732,www.metcap.com,44.68823,-63.58749,"35 Highfield Park Drive, Dartmouth, NS, B3A 4V4",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,61,49,42,Metcap
24,1829,1,1,0,734,www.metcap.com,44.68821,-63.58332,"3 Farthington Place, Dartmouth, NS, B3A 2K3",2.0,0,0,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,61,49,33,Metcap
25,2099,2,1,0,800,www.northpointhfx.com,44.66105,-63.62041,"3693 Windsor Street, Halifax, NS, B3K 5G7",1.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,77,60,54,Northpointhfx
26,1450,0,1,0,411,,44.65389,-63.58637,"Gottingen Street, Halifax, NS",1.0,1,1,0,0,0,1,0,1,1,0,0,1,Halifax Peninsula,Downtown,False,True,False,96,70,87,Owner
27,2599,2,1,0,800,www.northpointhfx.com,44.63595,-63.5771,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,1,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
28,1549,0,1,0,450,www.northpointhfx.com,44.63595,-63.58646,"6060 South Street, Halifax, NS, B3H 1T1",2.0,1,1,1,0,0,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,False,True,88,65,79,Northpointhfx
29,2149,1,1,0,500,www.northpointhfx.com,44.63595,-63.58646,"6060 South Street, Halifax, NS, B3H 1T1",2.0,1,1,0,0,0,1,0,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,88,65,79,Northpointhfx
30,2199,1,1,0,500,www.northpointhfx.com,44.63408,-63.57646,"5726 Inglis St, Halifax, NS, B3H 1K4",1.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,90,62,68,Northpointhfx
31,1999,1,1,0,550,www.northpointhfx.com,44.63594,-63.58628,"6056 South Street, Halifax, NS, B3H 1T1",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,91,62,61,Northpointhfx
32,2509,2,1,0,750,www.northpointhfx.com,44.63595,-63.5771,"5713 Victoria Rd, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
33,2999,2,2,0,1000,www.northpointhfx.com,44.63499,-63.57602,"1027 South Park Street, Halifax, NS, B3H 2W2",2.0,0,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,True,True,93,64,65,Northpointhfx
34,1829,1,1,0,600,www.northpointhfx.com,44.66512,-63.61401,"6140 Lady Hammond Road, Halifax, NS, B3K 2R5",2.0,0,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,NorthEnd,False,True,True,88,55,47,Northpointhfx
35,2599,2,1,0,800,www.northpointhfx.com,44.64532,-63.60535,"2100 Poplar Street, Halifax, NS, B3L 2Y7",1.0,1,1,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,89,63,69,Northpointhfx
36,1949,1,1,0,600,www.northpointhfx.com,44.63439,-63.57502,"5670 Inglis Street, Halifax, NS, B3H 1K3",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,88,61,67,Northpointhfx
37,2255,1,1,0,720,,44.64353,-63.57578,"Queen Street, Halifax, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,False,99,67,62,Owner
38,2500,2,2,0,1367,,44.69829,-63.69871,"419 Kearney Lake Road, Bedford, NS",100.0,1,1,0,1,0,1,0,1,1,0,1,0,Bedford,Bedford Basin,False,True,True,29,30,49,Not Given
39,2210,2,2,0,1179,www.hazelviewproperties.com,44.64771,-63.65449,"16 Bently Drive, Halifax, NS, B3S 0G9",1.0,1,1,0,1,0,1,0,0,0,0,0,0,Mainland Halifax,Clayton Park,False,False,True,39,41,31,Hazelviewproperties
40,2495,2,2,1,1196,,44.63187,-63.63255,"Walter Havill Drive, Halifax, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Armdale,False,True,False,32,41,47,Owner
41,1895,1,1,0,790,,44.72522,-63.74884,"Appaloosa Run, Hammonds Plains, NS",1.0,1,1,0,1,0,1,0,1,1,0,0,0,Bedford,Hammonds Plains,False,True,False,15,13,28,Owner
42,2585,2,2,0,1285,www.skylineliving.ca,44.70006,-63.60854,"39 Seapoint Rd., Dartmouth, NS, B3B 0K2",1.0,1,0,0,0,0,0,0,1,0,0,0,0,Dartmouth,Burnside,False,True,True,42,47,40,Skylineliving
43,2096,2,1,1,1200,bayers1-universalgroup.securecafe.com,44.65563,-63.62416,"6969 Bayers Road, Halifax, NS, B3L 4P3",0.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,66,60,73,Universal Group
44,1650,1,1,0,500,,44.66992,-63.56283,"63 Prince Albert Road, Dartmouth, NS",1.0,0,1,0,1,0,1,0,1,1,0,0,0,Dartmouth,Dartmouth Downtown,False,False,False,90,62,80,Owner
45,2895,3,2,0,1518,www.444rent.com,44.6421,-63.57059,"5157 Morris Street, Halifax, NS, B3J 1A9",1.0,0,1,0,0,0,0,0,0,0,1,0,0,Halifax Peninsula,SouthEnd,False,False,True,96,67,63,444rent
46,1995,1,1,0,478,towerapartments.ca,44.63523,-63.57877,"1078 Tower Road, Halifax, NS, B3H 2Y5",1.0,0,0,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,87,65,69,Towerapartments
47,2145,1,1,0,689,vertusuites.com,44.64361,-63.57736,"1530 Birmingham Street, Halifax, NS, B3J 0B5",180.0,1,1,0,0,0,1,0,0,1,0,1,0,Halifax Peninsula,Downtown,False,False,True,10,72,75,Vertusuites
48,2195,1,1,0,788,vertusuites.com,44.64361,-63.57736,"1530 Birmingham Street, Halifax, NS, B3J 0B5",180.0,1,1,0,0,0,1,0,1,1,0,1,0,Halifax Peninsula,Downtown,False,False,True,10,72,75,Vertusuites
49,2595,2,1,0,1012,www.waterfordsuites.com,44.64301,-63.57018,"1343 Hollis Street, Halifax, NS, B3J 1T8",1.0,1,1,0,0,0,1,0,1,1,1,0,0,Halifax Peninsula,Downtown,False,False,True,97,72,61,Waterfordsuites
50,2395,2,1,0,936,west22living.com,44.65015,-63.62388,"7037 Mumford Rd, Halifax, NS, B3L 2J1",1.0,0,0,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,WestEnd,False,False,True,80,63,74,West22living
51,2195,1,1,0,528,thegeorgeresidence.com,44.64601,-63.59049,"6016 Pepperell Street, Halifax, NS, B3H 2N8",1.0,0,0,0,0,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,96,68,84,Thegeorgeresidence
52,1795,1,1,0,538,www.444rent.com,44.65072,-63.59572,"2473 Windsor Street, Halifax, NS, B3K 5B9",1.0,1,1,1,0,0,0,0,0,0,0,1,0,Halifax Peninsula,WestEnd,False,False,True,96,68,88,444rent
53,2725,2,1,0,890,www.capreit.ca,44.64964,-63.58068,"1920 Brunswick Street, Halifax, NS, B3J 0C5",,0,0,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,False,True,98,73,64,Capreit
54,1949,1,1,0,550,www.northpointhfx.com,44.63595,-63.5771,"5713 Victoria Road, Halifax, NS, B3H 2Y3",1.0,1,1,0,1,0,0,1,0,1,0,0,0,Halifax Peninsula,SouthEnd,False,False,True,93,64,67,Northpointhfx
55,1829,1,1,0,694,www.metcap.com,44.68558,-63.58379,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2.0,1,1,0,0,0,0,1,0,1,0,0,0,Dartmouth,Burnside,False,False,True,52,50,40,Metcap
56,1649,0,1,0,431,www.metcap.com,44.68643,-63.58052,"35 Leaman Drive, Dartmouth, NS, B3A 2K6",1.0,1,1,0,0,0,0,1,0,0,0,0,1,Dartmouth,Burnside,False,False,True,54,49,43,Metcap
57,1829,1,1,0,723,www.metcap.com,44.68643,-63.58052,"35 Leaman Drive, Dartmouth, NS, B3A 2K6",1.0,1,1,0,0,0,0,1,0,0,0,0,0,Dartmouth,Burnside,False,False,True,54,49,43,Metcap
58,2095,2,1,0,861,www.metcap.com,44.77075,-63.69642,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6",1.0,0,0,0,0,0,0,0,0,0,0,0,0,Sackville,Lower Sackville,False,False,True,59,47,26,Metcap
59,1599,0,1,0,494,www.metcap.com,44.68558,-63.58379,"10 Crystal Drive, Dartmouth, NS, B3A 4G6",2.0,1,1,0,0,0,0,1,0,1,0,0,1,Dartmouth,Burnside,False,False,True,52,50,40,Metcap
60,1495,1,1,0,600,,44.64715,-63.59952,"6296 Allan Street, Halifax, NS",70.0,0,1,0,0,0,0,1,0,1,0,0,0,Halifax Peninsula,WestEnd,False,False,False,96,65,75,Owner
61,1525,0,1,0,575,,44.63729,-63.57149,"5266 Green Street, Halifax, NS",150.0,1,1,1,0,1,0,1,0,1,0,0,1,Halifax Peninsula,SouthEnd,False,True,False,89,64,58,Owner
62,1895,1,1,1,700,,44.65771,-63.63437,"Supreme Court, Halifax, NS",0.0,1,1,0,1,0,1,0,1,1,0,0,0,Mainland Halifax,Clayton Park,False,True,False,87,58,71,Owner
63,2025,1,1,0,600,killamreit.com,44.64371,-63.56977,"5121 Bishop Street, Halifax, NS, B3J 0E5",2.0,1,1,0,1,0,1,0,1,1,0,0,0,Halifax Peninsula,Downtown,False,True,True,97,72,61,Killamreit
