type,location
Grocery,Walmart
Grocery,Costco
Grocery,Atlantic
Grocery,Sobeys
Grocery,Shoppers Drug Mart
Grocery,Dollarama
Recreation,MicMac
Recreation,HSC
Recreation,Cineplex
Recreation,Activate
Recreation,Playdium
Recreation,McDonalds
Recreation,Burger_King
Recreation,Pizza Hut
Recreation,Dominoes
Recreation,Pizza Pizza
Recreation,Anytime Fitness
EducationCenter,High School
EducationCenter,Middle School
EducationCenter,University
Airport, Airport
Emergency,Hospital
Emergency,Emergency Room
Emergency,Fire Station
Emergency,Police Station
Transit,Transit
